id,title,format,medium,notes,source,catalogueId,catalogueCallNumber,catalogueName,artistId,originalArtistId,artistFirstName,artistLastName,originalArtistLastName,artistGender,artistThumbnailFile,exhibitionId,exhibitionName,exhibitionPlace,exhibitionYear,originalExhibitionYear,mediumFormat,originalMediumFormat,price
16814,Portrait of a Lady,Portrait - Painting,,,"Dictionary of Australian Artists, 1992",93,ML 706/V,Victorian Fine Arts Society [Inaugural exhibition]. Catalogue,2568,2568,Rev. A,Morison,Morison,,,45,Victorian Fine Arts Society [Inaugural exhibition],,1853,1853,Portrait - Painting,Portrait - Painting,
10259,Portrait - Phyllis,Painting,Watercolour,,"McCulloch, Encyclopedia of Australian Art, 1994",57,ML FM4/8446,"Catalogue of exhibits in the Fifteenth Annual Exhibition of the Royal Art Society of New South Wales, 1894",2106,2106,Edith E.,Cusack,Cusack,female,,8,"Royal Art Society of New South Wales Annual Exhibition. 15th, 1893",,1894,1894,Watercolour Painting,Watercolour Painting,
12305,Portrait Study,Painting,Oil,For sale: Â£52.10.0,"McCulloch, Encyclopedia of Australian Art, 1994",67,FM 4/8446,"Catalogue of exhibits in the Nineteenth Annual Exhibition of the Royal Art Society of New South Wales, 1898, Sydney",2912,,,Unknown,,,,21,"Royal Art Society of New South Wales Annual Exhibition. 19th, 1898",,1898,1898,Oil Painting,Oil Painting,52.5
16409,"Portrait - W.H. McMillan, Esq.",Painting,Oil,,"McCulloch, Encyclopedia of Australian Art, 1994",144,ML 706/V,"Victorian Artists Society. Catalogue of Exhibitions, Melbourne",2890,2890,James Clarke,Waite,Waite,male,,53,"Victorian Artists Society, Melbourne, 1890","Grosvenor Chambers, Collins Street, Melbourne, Victoria",1890,1890,Oil Painting,Oil Painting,
18368,"Portrait - W.J.T. Clarke, Esq.",Painting,Watercolour,,"Dictionary of Australian Artists, 1992",85,ML 708.9/N,,2064,2064,Tennyson,Cole,Cole,,,41,"Exhibition of works of Victorian artists held in the Art Gallery of the Exhibition Building, 1890",,1890,1890,Watercolour Painting,Watercolour Painting,
12455,Portrait  William 111,Painting,Oil,,None given,79,DL 89/1350 Pam,"Catalogue of the Loan Exhibition, Women's College [University of Sydney], 1895",2912,,,Unknown,,,,37,"Women's College Loan Exhibition, Sydney, 1895",,1895,1895,Oil Painting,Oil Painting,
10128,Portrait (Mrs. Stephens),Painting,Oil,,Indexer's Authority File,54,ML FM4/8446,"Catalogue of exhibits in the Fourteenth Annual Exhibition of the Royal Art Society of New South Wales, 1893",246,246,Ethel Anna,Stephens,Stephens,female,,13,"Royal Art Society of New South Wales Annual Exhibition. 14th, 1893",,1893,1893,Oil Painting,Oil Painting,
17901,"Portrait , after Sir J. Reynolds",Painting,Oil,,"Dictionary of Australian Artists, 1992",92,ML 708.9/A,"Art-Treasures Exhibition held in the Legislative Chamber, Hobart Town. Catalogue",2163,2163,Benjamin,Duterrau,Duterrau,male,,69,"Art-Treasures Exhibition held in the Legislative Chamber, Hobart Town",,1858,1858,Oil Painting,Oil Painting,
15134,Portrait [brooch],Miniature,,,None given,80,DL 89/86,"Catalgue of the loan exhibition to inaugurate the first completed portion of the gallery, May 1897",2912,,,Unknown,,,,32,"National Art Gallery of New South Wales loan exhibition, 1897",,1897,1897,Miniature,Miniature,
15135,Portrait [brooch],Miniature,,,None given,80,DL 89/86,"Catalgue of the loan exhibition to inaugurate the first completed portion of the gallery, May 1897",2912,,,Unknown,,,,32,"National Art Gallery of New South Wales loan exhibition, 1897",,1897,1897,Miniature,Miniature,
